Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.11338313585624, 49.23999783930798], [-123.11334462918607, 49.24009438705777]], ""type"": ""LineString""}";900;;blank;<blank>;49.24004611318288, -123.11336388252116
"{""coordinates"": [[-123.13469441324345, 49.23796198356768], [-123.13486958301279, 49.23796806687636], [-123.13494445954507, 49.23797067801167]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.23796632700514, -123.13481943652597
"{""coordinates"": [[-123.13838948386503, 49.238088874915654], [-123.13867387772784, 49.23809842865702]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.238093651786336, -123.13853168079643
"{""coordinates"": [[-123.11907413686444, 49.28295769780733], [-123.11835608129319, 49.28248530721432]], ""type"": ""LineString""}";450;1971-01-01;Cement Lined;Ductile Iron;49.282721502510825, -123.1187151090788
"{""coordinates"": [[-123.11291466070344, 49.263805266431035], [-123.11292093496407, 49.26365158619842]], ""type"": ""LineString""}";750;1983-01-01;blank;Concrete;49.26372842631473, -123.11291779783373
"{""coordinates"": [[-123.024750669095, 49.23239332728582], [-123.02475099763238, 49.23274849576149]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.23257091152365, -123.0247508333637
"{""coordinates"": [[-123.11182712473217, 49.286785755068635], [-123.11108552166881, 49.286469948318704]], ""type"": ""LineString""}";400;1985-01-01;Cement Lined;Ductile Iron;49.286627851693666, -123.11145632320049
"{""coordinates"": [[-123.13458106817727, 49.237958067803675], [-123.134644266614, 49.237960242975014]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.23795915538935, -123.13461266739563
"{""coordinates"": [[-123.12604576752251, 49.20843429892298], [-123.12492405247926, 49.20841719412581]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.2084257465244, -123.12548491000089
"{""coordinates"": [[-123.13456059740439, 49.23795737202954], [-123.13458106817727, 49.237958067803675]], ""type"": ""LineString""}";750;1968-01-01;Coal Tar;Steel;49.23795771991661, -123.13457083279083
"{""coordinates"": [[-123.05244154408867, 49.206133042591524], [-123.05174205540831, 49.20618699699274]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.20616001979214, -123.05209179974848
"{""coordinates"": [[-123.09017340093548, 49.23101989838456], [-123.0901742469386, 49.23098663326614]], ""type"": ""LineString""}";450;1999-01-01;Epoxy;Steel;49.23100326582535, -123.09017382393704
"{""coordinates"": [[-123.07448559745434, 49.27670237471721], [-123.07449619171838, 49.275804018757746]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27625319673748, -123.07449089458636
"{""coordinates"": [[-123.14805434881791, 49.267393626909374], [-123.14806041090732, 49.267393709093405]], ""type"": ""LineString""}";450;1993-01-01;blank;Ductile Iron;49.26739366800139, -123.14805737986262
"{""coordinates"": [[-123.1057329443737, 49.23028138142113], [-123.10572921066313, 49.23035326594552]], ""type"": ""LineString""}";450;1999-01-01;Epoxy;Steel;49.23031732368332, -123.10573107751841
"{""coordinates"": [[-123.1181800321001, 49.28260210986943], [-123.11835614993471, 49.28248526216812]], ""type"": ""LineString""}";450;1974-01-01;Cement Lined;Ductile Iron;49.282543686018776, -123.1182680910174
"{""coordinates"": [[-123.11754714497374, 49.28302158882052], [-123.11812402116101, 49.28263922726876]], ""type"": ""LineString""}";450;1974-01-01;Cement Lined;Ductile Iron;49.28283040804464, -123.11783558306738
"{""coordinates"": [[-123.11812402116101, 49.28263922726876], [-123.1181800321001, 49.28260210986943]], ""type"": ""LineString""}";450;1974-01-01;Cement Lined;Ductile Iron;49.282620668569095, -123.11815202663055
"{""coordinates"": [[-123.16738314470489, 49.2273353175679], [-123.16744563969976, 49.22733612652382]], ""type"": ""LineString""}";450;1960-01-01;Coal Tar;Steel;49.22733572204586, -123.16741439220232
"{""coordinates"": [[-123.07453187112758, 49.27305061371026], [-123.0743955793549, 49.273049550158824]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27305008193454, -123.07446372524122
"{""coordinates"": [[-123.07430250941864, 49.273048818468396], [-123.07430234264056, 49.273065918431904]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.273057368450154, -123.0743024260296
"{""coordinates"": [[-123.07271661287747, 49.27975366873917], [-123.07272103205082, 49.27958923407433], [-123.07272103191856, 49.279589144122625]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27967140644707, -123.07271882367174
"{""coordinates"": [[-123.0727609101491, 49.278583826635305], [-123.07279800576097, 49.277650643082616], [-123.07279814324608, 49.277650642996]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27811716618075, -123.07277946069523
"{""coordinates"": [[-123.13385550409178, 49.24167755385778], [-123.13215266406534, 49.24161451468801], [-123.13113249182405, 49.241576394949384], [-123.12798590169696, 49.24145766040655]], ""type"": ""LineString""}";600;1997-01-01;Cement Lined;Ductile Iron;49.241568084434554, -123.13092068504616
"{""coordinates"": [[-123.12750826599449, 49.24145082146215], [-123.12685485258962, 49.241424833920576], [-123.12512918165366, 49.24136118557645], [-123.12377934860628, 49.24131050329687], [-123.12135247886037, 49.241219635464226]], ""type"": ""LineString""}";600;1997-01-01;Cement Lined;Ductile Iron;49.24133479304676, -123.12443038959006
"{""coordinates"": [[-123.11871133933805, 49.241099630528474], [-123.11633247437487, 49.24101919530387]], ""type"": ""LineString""}";600;1997-01-01;Cement Lined;Ductile Iron;49.24105941291617, -123.11752190685648
"{""coordinates"": [[-123.06821386526087, 49.281250621648816], [-123.06821845146753, 49.28104681521163]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.281148718430224, -123.06821615836421
"{""coordinates"": [[-123.06821845146753, 49.28104681521163], [-123.068233796326, 49.2803794359143]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.28071312556297, -123.06822612389678
