Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.07173791214224, 49.23057773877369], [-123.07162917458439, 49.23054391212194]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23056082544781, -123.07168354336332
"{""coordinates"": [[-123.07155902661043, 49.230543182004276], [-123.0708293201697, 49.230535544980015], [-123.07002148578604, 49.23052721311827]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23053516841474, -123.07079025650106
"{""coordinates"": [[-123.15334444149164, 49.25729351640299], [-123.15324048843718, 49.257292880737694]], ""type"": ""LineString""}";450;1931-01-01;CENT;Steel;49.25729319857034, -123.15329246496441
"{""coordinates"": [[-123.12772154925904, 49.24134706862057], [-123.12765592946391, 49.24134513520939]], ""type"": ""LineString""}";750;1959-01-01;Coal Tar;Steel;49.241346101914985, -123.12768873936147
"{""coordinates"": [[-123.1277589618841, 49.24134816964847], [-123.12772154925904, 49.24134706862057]], ""type"": ""LineString""}";750;1959-01-01;Coal Tar;Steel;49.241347619134515, -123.12774025557157
"{""coordinates"": [[-123.0680459470825, 49.28219342412507], [-123.06813941219593, 49.282159187380685]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.28217630575288, -123.06809267963921
"{""coordinates"": [[-123.16519043486359, 49.238486548067804], [-123.1651629718333, 49.238486110586045]], ""type"": ""LineString""}";600;2000-01-01;Cement Lined;Ductile Iron;49.238486329326925, -123.16517670334844
"{""coordinates"": [[-123.16252049966958, 49.238425398284065], [-123.16273134206578, 49.23842870857338], [-123.1648027849357, 49.238461537225746], [-123.165100467958, 49.23846623947275]], ""type"": ""LineString""}";750;2000-01-01;blank;Ductile Iron Concrete Lined;49.23844581141579, -123.16381048393117
"{""coordinates"": [[-123.0813420406577, 49.265244162563434], [-123.08119570683476, 49.265233498233194]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.26523883039832, -123.08126887374624
"{""coordinates"": [[-123.02511367854886, 49.22934969539155], [-123.02511350399335, 49.229330490554815]], ""type"": ""LineString""}";450;1994-01-01;Cement Lined;Ductile Iron;49.22934009297318, -123.02511359127111
"{""coordinates"": [[-123.03859815555336, 49.22929975925608], [-123.03858451724071, 49.229300582380624]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.22930017081835, -123.03859133639705
"{""coordinates"": [[-123.15244773760962, 49.257286148608365], [-123.15223876565842, 49.257277905680894]], ""type"": ""LineString""}";450;1929-01-01;blank;Steel;49.257282027144626, -123.15234325163404
"{""coordinates"": [[-123.0901742469386, 49.23098663326614], [-123.09016052473177, 49.230986428090574]], ""type"": ""LineString""}";1050;1998-01-01;blank;Steel;49.23098653067836, -123.09016738583519
"{""coordinates"": [[-123.07187782147658, 49.22029492210088], [-123.07175994460154, 49.223247261064834]], ""type"": ""LineString""}";450;1970-01-01;Coal Tar;Steel;49.22177109158286, -123.07181888303906
"{""coordinates"": [[-123.0759175655055, 49.23063765660208], [-123.07558582005946, 49.230633502447034], [-123.07507619758658, 49.230627529097504], [-123.07426460883016, 49.23061761919671], [-123.07370204966229, 49.230602048879994], [-123.07294708006286, 49.2305927502398]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23061657761422, -123.07443229586211
"{""coordinates"": [[-123.07731372211202, 49.230664615936426], [-123.07690384105496, 49.23065536355134]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.230659989743884, -123.07710878158349
"{""coordinates"": [[-123.19086696155878, 49.25205961072649], [-123.19087429175461, 49.25146239633017]], ""type"": ""LineString""}";450;1936-01-01;CENT;Steel;49.25176100352833, -123.1908706266567
"{""coordinates"": [[-123.13113468820781, 49.29023220421291], [-123.13128569880581, 49.29013884283117]], ""type"": ""LineString""}";750;1950-01-01;Coal Tar;Steel;49.29018552352204, -123.1312101935068
"{""coordinates"": [[-123.13129311267987, 49.29013424687344], [-123.1313079404239, 49.290125054956555]], ""type"": ""LineString""}";450;1950-01-01;Coal Tar;Steel;49.290129650915, -123.13130052655188
"{""coordinates"": [[-123.15319804252368, 49.25730364133723], [-123.15319997508557, 49.257244243348]], ""type"": ""LineString""}";1200;1939-01-01;blank;Steel;49.257273942342614, -123.15319900880462
"{""coordinates"": [[-123.13062078973695, 49.285709088750544], [-123.1297250399809, 49.28629714073923]], ""type"": ""LineString""}";450;1969-01-01;Cement Lined;Ductile Iron;49.28600311474489, -123.1301729148589
"{""coordinates"": [[-123.07742244983127, 49.26145511559164], [-123.0774398372777, 49.260630252275575]], ""type"": ""LineString""}";900;1992-01-01;Cement Lined;Ductile Iron;49.26104268393361, -123.07743114355449
"{""coordinates"": [[-123.07743649986092, 49.26051754453536], [-123.07739709371668, 49.26036636146158]], ""type"": ""LineString""}";900;1992-01-01;Cement Lined;Ductile Iron;49.26044195299847, -123.0774167967888
"{""coordinates"": [[-123.05171891068477, 49.206188779431315], [-123.04978945049619, 49.206337554862515]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.206263167146915, -123.05075418059047
"{""coordinates"": [[-123.07798438827933, 49.2605656512156], [-123.07812592343201, 49.26056676095613]], ""type"": ""LineString""}";900;1992-01-01;Cement Lined;Ductile Iron;49.26056620608587, -123.07805515585568
"{""coordinates"": [[-123.10907940676762, 49.23883569568892], [-123.10786384173208, 49.237324322400895]], ""type"": ""LineString""}";800;1927-01-01;blank;<blank>;49.23808000904491, -123.10847162424986
"{""coordinates"": [[-123.0839521346521, 49.27994756195181], [-123.08389369941649, 49.2799467948263]], ""type"": ""LineString""}";600;1966-02-14;Coal Tar;Steel;49.27994717838905, -123.0839229170343
"{""coordinates"": [[-123.13046737144433, 49.20561920492053], [-123.1302579810981, 49.205346442944254], [-123.13027290744414, 49.20501854747894], [-123.12989194101814, 49.20501179827835], [-123.12912952068869, 49.20533291276146]], ""type"": ""LineString""}";900;1983-01-01;blank;<blank>;49.205199050132805, -123.12991410443837
"{""coordinates"": [[-123.13838948386503, 49.238088874915654], [-123.13596387813146, 49.238005445731496]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.238047160323575, -123.13717668099824
"{""coordinates"": [[-123.0655573058319, 49.277484933041016], [-123.06555976106561, 49.276723381426564]], ""type"": ""LineString""}";450;1982-01-01;Cement Lined;Ductile Iron;49.277104157233794, -123.06555853344875
"{""coordinates"": [[-123.1222559040175, 49.28085104177085], [-123.12224929364315, 49.28084673107831]], ""type"": ""LineString""}";750;1974-01-01;Coal Tar;Concrete;49.28084888642458, -123.12225259883033
"{""coordinates"": [[-123.13833191929403, 49.28060755843726], [-123.13807872650452, 49.2807755224447]], ""type"": ""LineString""}";450;1969-01-01;Cement Lined;Ductile Iron;49.28069154044098, -123.13820532289925
"{""coordinates"": [[-123.02524943159158, 49.23524259086547], [-123.025116813526, 49.235181479072544]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.23521203496901, -123.02518312255879
"{""coordinates"": [[-123.1378444214226, 49.29400916396459], [-123.13785612780282, 49.2940149968541]], ""type"": ""LineString""}";400;1900-01-01;blank;<blank>;49.294012080409345, -123.1378502746127
"{""coordinates"": [[-123.13782248855094, 49.294035006234104], [-123.13783625613479, 49.29404020700607]], ""type"": ""LineString""}";400;1900-01-01;blank;<blank>;49.29403760662009, -123.13782937234286
"{""coordinates"": [[-123.1327237095778, 49.24426634031986], [-123.13297553525759, 49.243902643131136], [-123.13298073534673, 49.24389490124085], [-123.13298579804322, 49.24388715950848], [-123.1329908607381, 49.24387941777586], [-123.13299592318984, 49.243871586090904], [-123.13300084824897, 49.243863754563904], [-123.13300577354812, 49.24385601298881], [-123.13301069860414, 49.24384818146135], [-123.13301548624352, 49.243840341096664], [-123.13302027366392, 49.24383241977488], [-123.1330250613244, 49.24382458840499], [-123.13302971135087, 49.243816667240985], [-123.13303422422665, 49.24380883618712], [-123.13303887425016, 49.243800915022724], [-123.1330433868814, 49.243792994016374], [-123.1330477621204, 49.24378507316804], [-123.13305227474876, 49.24377715216131], [-123.1330565123525, 49.24376914151877], [-123.13306087384822, 49.24376122068574], [-123.13306511144924, 49.24375321004286], [-123.1330800082322, 49.243723868406796], [-123.13309394278029, 49.24369434797246], [-123.1331070524855, 49.24366464858185], [-123.13311933734921, 49.24363477023528], [-123.13313065998246, 49.243604713091294], [-123.13314102062873, 49.243574567102314], [-123.13315054269897, 49.24354424217394], [-123.13315911652445, 49.24351382838522], [-123.13316686575784, 49.243483325593786], [-123.1331736530108, 49.24345273395821], [-123.13317947828499, 49.24342205347863], [-123.13318447921384, 49.243391373948945], [-123.13318851792542, 49.24336051562337], [-123.13319159490531, 49.24332965840631], [-123.13319384754477, 49.243298802139364], [-123.13319513821406, 49.24326785702892], [-123.13319546715691, 49.24323691302709], [-123.13319483461704, 49.243206060086], [-123.13319337750148, 49.243175118143036]], ""type"": ""LineString""}";1200;1967-01-01;blank;Steel;49.24374487043729, -123.13302521060112
"{""coordinates"": [[-123.12422031902797, 49.20729531340861], [-123.12421219302237, 49.20728497755822]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.20729014548341, -123.12421625602516
"{""coordinates"": [[-123.12420255232777, 49.207272844276986], [-123.12419842014268, 49.20726746053853]], ""type"": ""LineString""}";450;1978-01-01;Cement Lined;Ductile Iron;49.20727015240776, -123.12420048623522
"{""coordinates"": [[-123.13457822414708, 49.23792253988914], [-123.13454497628828, 49.23792139124308]], ""type"": ""LineString""}";450;;blank;Steel;49.23792196556611, -123.1345616002177
"{""coordinates"": [[-123.10804654702989, 49.237323791856795], [-123.1078638417125, 49.23732431340566]], ""type"": ""LineString""}";800;1927-01-01;blank;<blank>;49.23732405263123, -123.10795519437119
"{""coordinates"": [[-123.15079944172706, 49.25690156231731], [-123.1508052736034, 49.25674530775305]], ""type"": ""LineString""}";1800;1967-01-01;blank;Steel;49.25682343503518, -123.15080235766524
"{""coordinates"": [[-123.08340517887858, 49.28010223436378], [-123.0833419311013, 49.28010138048105]], ""type"": ""LineString""}";600;1966-02-14;Coal Tar;Steel;49.28010180742241, -123.08337355498995
"{""coordinates"": [[-123.08287615205526, 49.24029602036594], [-123.08240356815212, 49.24029285027664]], ""type"": ""LineString""}";450;1963-01-01;Cement Lined;Cast Iron;49.24029443532129, -123.08263986010368
"{""coordinates"": [[-123.09067025529237, 49.236587201663404], [-123.0892333397611, 49.2365649688418], [-123.08808629407817, 49.236551474744765]], ""type"": ""LineString""}";800;1927-01-01;blank;Steel;49.23656815571076, -123.0893782907889
"{""coordinates"": [[-123.08808629407817, 49.236551474744765], [-123.0879949537637, 49.2365502040631]], ""type"": ""LineString""}";800;1927-01-01;blank;Steel;49.23655083940393, -123.08804062392093
"{""coordinates"": [[-123.08607161598934, 49.240318384749195], [-123.08592050818721, 49.24031733684533]], ""type"": ""LineString""}";450;1963-01-01;Cement Lined;Cast Iron;49.24031786079726, -123.08599606208827
"{""coordinates"": [[-123.11933617607977, 49.24116305088987], [-123.11814224896456, 49.24112605723373]], ""type"": ""LineString""}";1200;1946-01-01;blank;Steel;49.2411445540618, -123.11873921252217
"{""coordinates"": [[-123.10986276392605, 49.23980958808732], [-123.10907940676762, 49.23883569568892]], ""type"": ""LineString""}";800;1927-01-01;blank;<blank>;49.23932264188812, -123.10947108534683
"{""coordinates"": [[-123.06371897524697, 49.28218498001175], [-123.06372570741951, 49.282180928470254]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.282182954241, -123.06372234133323
"{""coordinates"": [[-123.06136080562568, 49.20625326053238], [-123.06134020755894, 49.20624922359058], [-123.06109729146903, 49.20620447481466], [-123.06085341776786, 49.20616213677099], [-123.0606085865653, 49.206122326392304], [-123.0603627977057, 49.206084944724424], [-123.0601162022902, 49.206050090630896], [-123.05986877279297, 49.2060177371349], [-123.05948871057745, 49.205973406795195]], ""type"": ""LineString""}";400;1977-01-01;Cement Lined;Ductile Iron;49.20610103903412, -123.06042659963157
"{""coordinates"": [[-123.12872855634329, 49.20847534517256], [-123.12741872618561, 49.208455244786144]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.208465294979355, -123.12807364126445
"{""coordinates"": [[-123.05763776760608, 49.287025866543694], [-123.05765782200469, 49.286888860132855]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.286957363338274, -123.05764779480539
"{""coordinates"": [[-123.1648283656814, 49.22730663516013], [-123.1648002090804, 49.22730640547426]], ""type"": ""LineString""}";450;1960-01-01;Coal Tar;Steel;49.2273065203172, -123.16481428738089
"{""coordinates"": [[-123.0382508354495, 49.22929892128534], [-123.03820002913672, 49.22929868622992]], ""type"": ""LineString""}";1050;1998-01-01;blank;Steel;49.22929880375763, -123.0382254322931
"{""coordinates"": [[-123.04431576593092, 49.229304678682176], [-123.04367049815363, 49.229297332420565]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.22930100555137, -123.04399313204227
"{""coordinates"": [[-123.10226576637014, 49.21681862186698], [-123.10210832256394, 49.216713525378566]], ""type"": ""LineString""}";400;1978-01-01;Cement Lined;Ductile Iron;49.21676607362277, -123.10218704446703
"{""coordinates"": [[-123.07167410539438, 49.225123717940704], [-123.07166343500752, 49.225342759258595]], ""type"": ""LineString""}";450;1970-01-01;Coal Tar;Steel;49.22523323859965, -123.07166877020094
"{""coordinates"": [[-123.07166343500752, 49.225342759258595], [-123.07162054013047, 49.226566096743646]], ""type"": ""LineString""}";450;1970-01-01;Coal Tar;Steel;49.22595442800112, -123.07164198756901
"{""coordinates"": [[-123.09271093518385, 49.26689431464414], [-123.09175972713524, 49.266885098296044]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.266889706470096, -123.09223533115954
"{""coordinates"": [[-123.03858451724071, 49.229300582380624], [-123.03830026826014, 49.22929916576907]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.22929987407485, -123.03844239275043
"{""coordinates"": [[-123.05758247778827, 49.28747755045753], [-123.05760553984855, 49.287443177425054]], ""type"": ""LineString""}";750;1986-01-01;blank;Concrete;49.28746036394129, -123.0575940088184
"{""coordinates"": [[-123.11449144729815, 49.237195455887495], [-123.11444074724623, 49.23719136830915]], ""type"": ""LineString""}";1050;1953-01-01;blank;<blank>;49.23719341209832, -123.11446609727219
"{""coordinates"": [[-123.16512506552094, 49.2575735646476], [-123.16524606617745, 49.25758822476577]], ""type"": ""LineString""}";450;1931-01-01;CENT;Steel;49.257580894706685, -123.16518556584919
"{""coordinates"": [[-123.12505772417846, 49.24124542222786], [-123.12505696912922, 49.24127284953751]], ""type"": ""LineString""}";600;;blank;Steel;49.241259135882686, -123.12505734665385
"{""coordinates"": [[-123.06545367235077, 49.28465528144724], [-123.06545459085153, 49.284611627358856]], ""type"": ""LineString""}";450;1982-01-01;Cement Lined;Ductile Iron;49.28463345440305, -123.06545413160114
"{""coordinates"": [[-123.05765782200469, 49.286888860132855], [-123.05766422616713, 49.28661436038567]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.28675161025926, -123.05766102408592
"{""coordinates"": [[-123.12066427770955, 49.24209804896691], [-123.12066203299955, 49.24216353666034]], ""type"": ""LineString""}";600;1977-01-01;Cement Lined;Ductile Iron;49.242130792813626, -123.12066315535456
"{""coordinates"": [[-123.16582771004, 49.235068150230155], [-123.16582833363677, 49.23504925930183]], ""type"": ""LineString""}";450;1968-01-01;blank;Steel;49.23505870476599, -123.1658280218384
"{""coordinates"": [[-123.1407076745089, 49.205765564386525], [-123.14072465278004, 49.205227175081], [-123.14136219025237, 49.20469834551597], [-123.1415029740428, 49.204246159291856]], ""type"": ""LineString""}";900;1983-01-01;blank;<blank>;49.20499271305415, -123.1410477815175
"{""coordinates"": [[-123.05174205540831, 49.20618699699274], [-123.05173004376148, 49.20618791989287]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.206187458442805, -123.05173604958489
"{""coordinates"": [[-123.10210832256394, 49.216713525378566], [-123.10210022074101, 49.21671344258722]], ""type"": ""LineString""}";400;1978-01-01;Cement Lined;Ductile Iron;49.21671348398289, -123.1021042716525
"{""coordinates"": [[-123.0247514897309, 49.233266064449765], [-123.02475227336875, 49.23411966859242]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.233692866521096, -123.02475188154983
"{""coordinates"": [[-123.02475058403985, 49.23230556062292], [-123.024750669095, 49.23239332728582]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.23234944395438, -123.02475062656742
"{""coordinates"": [[-123.08355462079153, 49.280013784742714], [-123.08340517887858, 49.28010223436378]], ""type"": ""LineString""}";600;1966-02-14;Coal Tar;Steel;49.280058009553244, -123.08347989983504
"{""coordinates"": [[-123.1142252984296, 49.23843341132302], [-123.11439664840249, 49.23886186521704]], ""type"": ""LineString""}";1050;1953-01-01;blank;<blank>;49.23864763827003, -123.11431097341605
"{""coordinates"": [[-123.1552983918707, 49.23832948550697], [-123.1552750240407, 49.23832943596038]], ""type"": ""LineString""}";750;1974-01-01;blank;Steel;49.23832946073368, -123.15528670795571
"{""coordinates"": [[-123.10753478170851, 49.27708399686163], [-123.10708843090579, 49.27707298750734], [-123.10652351548936, 49.27706246359101]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.27707247805334, -123.10702916488123
"{""coordinates"": [[-123.10652351548936, 49.27706246359101], [-123.10646101293402, 49.27706129784944], [-123.10639358826572, 49.27706003765925]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.27706125126129, -123.10645855186564
"{""coordinates"": [[-123.11412417887178, 49.24118334822327], [-123.11460631391924, 49.24089230663985]], ""type"": ""LineString""}";600;;blank;<blank>;49.241037827431555, -123.11436524639552
"{""coordinates"": [[-123.14795579895905, 49.26739584902921], [-123.14795604966396, 49.26738775302621]], ""type"": ""LineString""}";1200;1939-01-01;blank;Steel;49.26739180102771, -123.1479559243115
"{""coordinates"": [[-123.15084833755581, 49.257162809587186], [-123.15084925211526, 49.25713822446125]], ""type"": ""LineString""}";1800;1967-01-01;blank;Steel;49.257150517024215, -123.15084879483555
"{""coordinates"": [[-123.11390835108057, 49.238597905491595], [-123.11389517517307, 49.23854349724711]], ""type"": ""LineString""}";450;;blank;<blank>;49.238570701369355, -123.11390176312682
"{""coordinates"": [[-123.11599346968605, 49.24092071444864], [-123.11578777649495, 49.240913562681904]], ""type"": ""LineString""}";750;1959-01-01;Coal Tar;Steel;49.24091713856528, -123.11589062309051
"{""coordinates"": [[-123.11575236123917, 49.24103792140888], [-123.11570083789415, 49.24103599406816]], ""type"": ""LineString""}";1200;1946-01-01;blank;Steel;49.24103695773852, -123.11572659956667
"{""coordinates"": [[-123.0656396031446, 49.27298766193393], [-123.06564115132585, 49.27292153741313]], ""type"": ""LineString""}";450;1982-01-01;Cement Lined;Ductile Iron;49.27295459967353, -123.06564037723523
"{""coordinates"": [[-123.11373932911215, 49.24198071508693], [-123.11431308930558, 49.24170441767845]], ""type"": ""LineString""}";1200;;blank;<blank>;49.24184256638269, -123.11402620920887
"{""coordinates"": [[-123.15652779700889, 49.23832914859724], [-123.16106226309375, 49.238400014014275]], ""type"": ""LineString""}";600;2004-05-01;blank;Ductile Iron Concrete Lined;49.23836458130576, -123.15879503005132
"{""coordinates"": [[-123.11287888765071, 49.239796236969084], [-123.11282265491673, 49.24012057041957]], ""type"": ""LineString""}";450;;blank;<blank>;49.23995840369433, -123.11285077128372
"{""coordinates"": [[-123.1346283707361, 49.237924280510526], [-123.13462840740966, 49.23793777333909]], ""type"": ""LineString""}";600;1936-01-01;blank;Steel;49.23793102692481, -123.13462838907287
"{""coordinates"": [[-123.11341401774447, 49.2400992663424], [-123.11343530556711, 49.24009654686888]], ""type"": ""LineString""}";1200;;blank;<blank>;49.240097906605634, -123.11342466165578
"{""coordinates"": [[-123.1022497012349, 49.23027791451817], [-123.10174673366555, 49.230268463828104]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23027318917313, -123.10199821745022
"{""coordinates"": [[-123.05766422616713, 49.28661436038567], [-123.05769184583993, 49.285736966804485]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.286175663595074, -123.05767803600352
"{""coordinates"": [[-123.17294022952144, 49.242361620638185], [-123.1713554448515, 49.24235522076543]], ""type"": ""LineString""}";600;;CENT;Steel;49.24235842070181, -123.17214783718647
"{""coordinates"": [[-123.11424851101667, 49.23837806760783], [-123.11427064186182, 49.23843741434146]], ""type"": ""LineString""}";1050;;blank;<blank>;49.23840774097465, -123.11425957643925
"{""coordinates"": [[-123.11395315684832, 49.24035057561813], [-123.11385341992087, 49.24029175511377]], ""type"": ""LineString""}";1200;1967-01-01;blank;Steel;49.240321165365955, -123.11390328838459
"{""coordinates"": [[-123.11354558117714, 49.240078529007505], [-123.11346947524075, 49.240025909649184]], ""type"": ""LineString""}";1200;1967-01-01;blank;Steel;49.24005221932835, -123.11350752820894
"{""coordinates"": [[-123.134644266614, 49.237960242975014], [-123.13469441324345, 49.23796198356768]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.237961113271346, -123.13466933992873
"{""coordinates"": [[-123.13494445954507, 49.23797067801167], [-123.13596387813146, 49.238005445731496]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.23798806187158, -123.13545416883827
"{""coordinates"": [[-123.10989714608458, 49.21692619538751], [-123.10637702077932, 49.21687637364525]], ""type"": ""LineString""}";400;1978-01-01;Cement Lined;Ductile Iron;49.21690128451638, -123.10813708343196
"{""coordinates"": [[-123.12618032023596, 49.20843640083845], [-123.12604576752251, 49.20843429892298]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.208435349880716, -123.12611304387922
"{""coordinates"": [[-123.1155472637317, 49.23975523420466], [-123.11482793003488, 49.23911012887976]], ""type"": ""LineString""}";1500;1969-01-01;blank;Steel;49.23943268154221, -123.11518759688329
"{""coordinates"": [[-123.13462840740966, 49.23793777333909], [-123.13462774376337, 49.2379463195976], [-123.134644916809, 49.23794674934597]], ""type"": ""LineString""}";450;1928-01-01;blank;Steel;49.23794504047194, -123.13463358240057
"{""coordinates"": [[-123.134644916809, 49.23794674934597], [-123.13465728174438, 49.23794718469626]], ""type"": ""LineString""}";450;1928-01-01;blank;Steel;49.23794696702112, -123.13465109927668
"{""coordinates"": [[-123.13467789404685, 49.23794940948032], [-123.13469506709397, 49.23794983922122], [-123.13469441324345, 49.23796198356768]], ""type"": ""LineString""}";450;1928-01-01;blank;Steel;49.23795223040681, -123.13468990427432
"{""coordinates"": [[-123.2095534021727, 49.25833130763948], [-123.20955388677298, 49.25831592493295]], ""type"": ""LineString""}";900;1964-01-01;blank;<blank>;49.25832361628622, -123.20955364447283
"{""coordinates"": [[-123.02605123595312, 49.2292947786084], [-123.02517999675796, 49.22927861842081], [-123.02511305174772, 49.22927829117371]], ""type"": ""LineString""}";450;1982-01-01;Cement Lined;Ductile Iron;49.22928611036387, -123.02558214882498
"{""coordinates"": [[-123.05173004376148, 49.20618791989287], [-123.05171891068477, 49.206188779431315]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.20618834966209, -123.05172447722313
"{""coordinates"": [[-123.0235122319698, 49.2293763435692], [-123.02332960802103, 49.229226690514814]], ""type"": ""LineString""}";900;;blank;Concrete;49.229301517042, -123.02342091999542
"{""coordinates"": [[-123.10573331356791, 49.23027416688622], [-123.1057329443737, 49.23028138142113]], ""type"": ""LineString""}";450;1999-01-01;Epoxy;Steel;49.23027777415368, -123.1057331289708
"{""coordinates"": [[-123.10815107797235, 49.23172560717507], [-123.1081959588874, 49.230640305406546]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23118295629081, -123.1081735184299
"{""coordinates"": [[-123.02823135436006, 49.28671584491447], [-123.02833513568446, 49.286647726093065]], ""type"": ""LineString""}";900;1990-01-01;Cement Lined;Ductile Iron;49.28668178550377, -123.02828324502227
"{""coordinates"": [[-123.11272127586072, 49.28716662331666], [-123.11182712473217, 49.286785755068635]], ""type"": ""LineString""}";400;1985-01-01;Cement Lined;Ductile Iron;49.28697618919264, -123.11227420029644
"{""coordinates"": [[-123.18515467281254, 49.24715623223974], [-123.18515820464886, 49.24625616316123]], ""type"": ""LineString""}";625;1930-01-01;CENT;Steel;49.24670619770048, -123.1851564387307
"{""coordinates"": [[-123.18515866572427, 49.24620676957161], [-123.18516747571731, 49.245259538840564]], ""type"": ""LineString""}";625;1930-01-01;CENT;Steel;49.245733154206086, -123.18516307072079
"{""coordinates"": [[-123.11519861179126, 49.27629695268794], [-123.11477480198549, 49.27584852360789]], ""type"": ""LineString""}";750;1983-01-01;blank;Steel;49.27607273814792, -123.11498670688837
"{""coordinates"": [[-123.11546640415591, 49.27647029249391], [-123.11519861179126, 49.27629695268794]], ""type"": ""LineString""}";750;1983-01-01;blank;Steel;49.276383622590934, -123.11533250797359
"{""coordinates"": [[-123.1268290423301, 49.20844628680423], [-123.12618032023596, 49.20843640083845]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.20844134382135, -123.12650468128302
"{""coordinates"": [[-123.10916750142555, 49.238851893869345], [-123.10913802222775, 49.23881540102821]], ""type"": ""LineString""}";1200;1967-01-01;blank;Steel;49.23883364744878, -123.10915276182665
"{""coordinates"": [[-123.12055029391463, 49.2797361090789], [-123.1195828823749, 49.279106120282165]], ""type"": ""LineString""}";750;1983-01-01;blank;Concrete;49.27942111468053, -123.12006658814477
"{""coordinates"": [[-123.13456709600209, 49.259833728735444], [-123.13497735979715, 49.259840347397386]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.25983703806641, -123.1347722278996
"{""coordinates"": [[-123.1200539189897, 49.25960036436554], [-123.1200772701147, 49.25960073588875]], ""type"": ""LineString""}";600;1998-01-01;Cement Lined;Ductile Iron;49.259600550127146, -123.1200655945522
"{""coordinates"": [[-123.13061301471254, 49.29057417054801], [-123.13066312064869, 49.29054038203433]], ""type"": ""LineString""}";600;1950-01-01;blank;Steel;49.29055727629117, -123.13063806768062
"{""coordinates"": [[-123.13137108426818, 49.290185160847], [-123.13129311267987, 49.29013424687344]], ""type"": ""LineString""}";600;1950-01-01;Coal Tar;Steel;49.29015970386022, -123.131332098474
"{""coordinates"": [[-123.07900672067045, 49.26521567609808], [-123.0777796289856, 49.26520640704707]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.26521104157257, -123.07839317482801
"{""coordinates"": [[-123.12598269175177, 49.202013298963976], [-123.12581059051445, 49.201775587761745]], ""type"": ""LineString""}";1050;1967-01-01;blank;<blank>;49.20189444336286, -123.12589664113312
"{""coordinates"": [[-123.12150837555265, 49.28036403962883], [-123.12126145418972, 49.28020220586245]], ""type"": ""LineString""}";750;1983-01-01;blank;Concrete;49.280283122745644, -123.12138491487117
"{""coordinates"": [[-123.15553554115321, 49.22721549069979], [-123.15543185509243, 49.2272141820201]], ""type"": ""LineString""}";450;1998-01-01;Cement Lined;Ductile Iron;49.22721483635995, -123.15548369812282
"{""coordinates"": [[-123.16581677775429, 49.23537246635782], [-123.16582558512177, 49.23512277246165]], ""type"": ""LineString""}";650;1969-01-01;Coal Tar;Steel;49.23524761940973, -123.16582118143802
"{""coordinates"": [[-123.12603284069742, 49.25969749598435], [-123.12583575022524, 49.25969429262793]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.259695894306134, -123.12593429546132
"{""coordinates"": [[-123.12616670834223, 49.25969968863503], [-123.12603284069742, 49.25969749598435]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.25969859230969, -123.12609977451982
