SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area;geo_point_2d
Distribution;SMALL;OPEN;4.3;E;0.0;N;"{""coordinates"": [-123.04766769660526, 49.22760876328591], ""type"": ""Point""}";Killarney;49.22760876328591, -123.04766769660526
Distribution;SMALL;OPEN;4.3;E;0.0;S;"{""coordinates"": [-123.04766752267066, 49.22742795861867], ""type"": ""Point""}";Killarney;49.22742795861867, -123.04766752267066
Distribution;SMALL;OPEN;0.0;E;7.0;S;"{""coordinates"": [-123.04293789393094, 49.23114991922586], ""type"": ""Point""}";Killarney;49.23114991922586, -123.04293789393094
Distribution;SMALL;OPEN;5.2;W;0.0;S;"{""coordinates"": [-123.0430386584767, 49.23100772071891], ""type"": ""Point""}";Killarney;49.23100772071891, -123.0430386584767
Distribution;SMALL;OPEN;0.0;W;5.5;S;"{""coordinates"": [-123.11096288092982, 49.28351209354886], ""type"": ""Point""}";Downtown;49.28351209354886, -123.11096288092982
Distribution;SMALL;OPEN;6.4;E;10.4;S;"{""coordinates"": [-123.11289306358566, 49.284700762210726], ""type"": ""Point""}";Downtown;49.284700762210726, -123.11289306358566
Distribution;SMALL;OPEN;0.0;W;6.5;S;"{""coordinates"": [-123.0328820727518, 49.2400587213654], ""type"": ""Point""}";Renfrew-Collingwood;49.2400587213654, -123.0328820727518
Distribution;SMALL;OPEN;1.5;E;0.0;N;"{""coordinates"": [-123.03195753865829, 49.23728712368905], ""type"": ""Point""}";Renfrew-Collingwood;49.23728712368905, -123.03195753865829
Distribution;SMALL;OPEN;38.1;E;5.5;N;"{""coordinates"": [-123.03207806021531, 49.23718739598395], ""type"": ""Point""}";Renfrew-Collingwood;49.23718739598395, -123.03207806021531
Distribution;SMALL;OPEN;47.2;E;5.5;N;"{""coordinates"": [-123.03197226826072, 49.2371431057375], ""type"": ""Point""}";Renfrew-Collingwood;49.2371431057375, -123.03197226826072
Distribution;SMALL;OPEN;5.5;E;0.0;N;"{""coordinates"": [-123.03061857337867, 49.2367266237731], ""type"": ""Point""}";Renfrew-Collingwood;49.2367266237731, -123.03061857337867
Distribution;SMALL;OPEN;;;;;"{""coordinates"": [-123.03362118295074, 49.238988092865974], ""type"": ""Point""}";Renfrew-Collingwood;49.238988092865974, -123.03362118295074
Distribution;SMALL;OPEN;8.5;W;3.0;S;"{""coordinates"": [-123.03352131347825, 49.23921762649928], ""type"": ""Point""}";Renfrew-Collingwood;49.23921762649928, -123.03352131347825
Distribution;SMALL;OPEN;0.0;E;7.3;S;"{""coordinates"": [-123.18172869815281, 49.25197048729585], ""type"": ""Point""}";Dunbar-Southlands;49.25197048729585, -123.18172869815281
Distribution;SMALL;OPEN;6.1;W;7.3;S;"{""coordinates"": [-123.17878933030448, 49.25195893595906], ""type"": ""Point""}";Dunbar-Southlands;49.25195893595906, -123.17878933030448
Distribution;SMALL;OPEN;0.0;W;13.7;N;"{""coordinates"": [-123.17875359637353, 49.24997433769638], ""type"": ""Point""}";Dunbar-Southlands;49.24997433769638, -123.17875359637353
Distribution;SMALL;OPEN;0.0;E;3.4;N;"{""coordinates"": [-123.17844878613568, 49.249879828253434], ""type"": ""Point""}";Dunbar-Southlands;49.249879828253434, -123.17844878613568
Distribution;SMALL;OPEN;0.0;E;1.8;S;"{""coordinates"": [-123.18173722542362, 49.25111533342106], ""type"": ""Point""}";Dunbar-Southlands;49.25111533342106, -123.18173722542362
Distribution;SMALL;OPEN;7.0;W;0.0;N;"{""coordinates"": [-123.10273012197946, 49.24064361424212], ""type"": ""Point""}";Riley Park;49.24064361424212, -123.10273012197946
Distribution;SMALL;OPEN;5.5;W;13.7;N;"{""coordinates"": [-123.18512063417923, 49.25000322441027], ""type"": ""Point""}";Dunbar-Southlands;49.25000322441027, -123.18512063417923
Distribution;SMALL;OPEN;0.0;E;7.6;S;"{""coordinates"": [-123.14112307705085, 49.25713192084436], ""type"": ""Point""}";Fairview;49.25713192084436, -123.14112307705085
Distribution;SMALL;OPEN;6.4;E;0.0;S;"{""coordinates"": [-123.1097994431178, 49.25566476832002], ""type"": ""Point""}";Riley Park;49.25566476832002, -123.1097994431178
Distribution;SMALL;OPEN;2.4;W;98.5;N;"{""coordinates"": [-123.03513173337903, 49.24326614791787], ""type"": ""Point""}";Renfrew-Collingwood;49.24326614791787, -123.03513173337903
Distribution;SMALL;OPEN;0.0;E;7.9;S;"{""coordinates"": [-123.03290283828433, 49.241227754816585], ""type"": ""Point""}";Renfrew-Collingwood;49.241227754816585, -123.03290283828433
Distribution;SMALL;OPEN;0.5;W;7.9;S;"{""coordinates"": [-123.03023998368995, 49.24013481428836], ""type"": ""Point""}";Renfrew-Collingwood;49.24013481428836, -123.03023998368995
Distribution;SMALL;OPEN;7.6;W;0.0;S;"{""coordinates"": [-123.03206105102407, 49.240749129931196], ""type"": ""Point""}";Renfrew-Collingwood;49.240749129931196, -123.03206105102407
Distribution;SMALL;OPEN;2.1;W;0.0;N;"{""coordinates"": [-123.03486809818376, 49.242117617019844], ""type"": ""Point""}";Renfrew-Collingwood;49.242117617019844, -123.03486809818376
Distribution;SMALL;OPEN;0.0;E;7.3;N;"{""coordinates"": [-123.05202130183378, 49.264753601878766], ""type"": ""Point""}";Hastings-Sunrise;49.264753601878766, -123.05202130183378
Distribution;SMALL;OPEN;0.0;W;7.3;N;"{""coordinates"": [-123.05229839964454, 49.264753476786254], ""type"": ""Point""}";Hastings-Sunrise;49.264753476786254, -123.05229839964454
Distribution;SMALL;OPEN;6.1;E;1.5;N;"{""coordinates"": [-123.15538848718589, 49.263006038516735], ""type"": ""Point""}";Kitsilano;49.263006038516735, -123.15538848718589
Distribution;SMALL;OPEN;5.2;E;0.0;N;"{""coordinates"": [-123.1579048487626, 49.259309579408466], ""type"": ""Point""}";Kitsilano;49.259309579408466, -123.1579048487626
Distribution;SMALL;OPEN;0.0;E;8.5;N;"{""coordinates"": [-123.15973824699364, 49.268207989000686], ""type"": ""Point""}";Kitsilano;49.268207989000686, -123.15973824699364
Distribution;SMALL;OPEN;7.6;E;1.5;S;"{""coordinates"": [-123.15304648994356, 49.262940522058614], ""type"": ""Point""}";Kitsilano;49.262940522058614, -123.15304648994356
Distribution;SMALL;OPEN;14.9;E;5.8;N;"{""coordinates"": [-123.17975781419538, 49.26677488506841], ""type"": ""Point""}";Kitsilano;49.26677488506841, -123.17975781419538
Distribution;SMALL;OPEN;0.0;E;5.8;S;"{""coordinates"": [-123.21488590566597, 49.26826804213063], ""type"": ""Point""}";West Point Grey;49.26826804213063, -123.21488590566597
Distribution;SMALL;OPEN;1.8;W;0.0;N;"{""coordinates"": [-123.2088901645004, 49.26652248042155], ""type"": ""Point""}";West Point Grey;49.26652248042155, -123.2088901645004
