DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
150;1947-01-01;Cast Iron;"{""coordinates"": [[-123.050399335706, 49.24790056996437], [-123.04986393417025, 49.247901944681566]], ""type"": ""LineString""}";49.247901257322965, -123.05013163493811
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.03630816436123, 49.26843374221438], [-123.0362819919944, 49.26843366048378]], ""type"": ""LineString""}";49.26843370134908, -123.03629507817782
150;1998-01-01;Ductile Iron;"{""coordinates"": [[-123.12403361592624, 49.21031301191804], [-123.1240020500221, 49.210312614035615]], ""type"": ""LineString""}";49.210312812976824, -123.12401783297418
150;;Cast Iron;"{""coordinates"": [[-123.10170884907447, 49.26366656961086], [-123.10171073604447, 49.26362168187317]], ""type"": ""LineString""}";49.26364412574202, -123.10170979255945
200;1948-01-01;Cast Iron;"{""coordinates"": [[-123.12823895001692, 49.27841251134221], [-123.1282722752144, 49.278390634046126]], ""type"": ""LineString""}";49.27840157269416, -123.12825561261566
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.08755228027447, 49.25286451416532], [-123.0875527779413, 49.252850652150975]], ""type"": ""LineString""}";49.252857583158146, -123.08755252910788
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.15250380728111, 49.273600292072665], [-123.1525129253554, 49.2735078004603]], ""type"": ""LineString""}";49.27355404626648, -123.15250836631824
150;;Cast Iron;"{""coordinates"": [[-123.09133770346992, 49.20814603412024], [-123.09129926744866, 49.20814921285963]], ""type"": ""LineString""}";49.208147623489936, -123.09131848545927
300;1938-01-01;Cast Iron;"{""coordinates"": [[-123.12361966019823, 49.27892293993729], [-123.12367092757702, 49.27888907218591]], ""type"": ""LineString""}";49.278906006061604, -123.12364529388762
300;;Cast Iron;"{""coordinates"": [[-123.09985838783206, 49.27955235462475], [-123.09987492246998, 49.27920921015848]], ""type"": ""LineString""}";49.27938078239162, -123.09986665515102
300;1949-01-01;Cast Iron;"{""coordinates"": [[-123.09916089672349, 49.26283029629137], [-123.0990138257704, 49.262827391034726]], ""type"": ""LineString""}";49.262828843663044, -123.09908736124694
150;1909-01-01;Cast Iron;"{""coordinates"": [[-123.13213080457331, 49.26072098585679], [-123.13376697479688, 49.26074989374952]], ""type"": ""LineString""}";49.260735439803156, -123.1329488896851
50;1994-01-01;Copper;"{""coordinates"": [[-123.06039772975967, 49.24409813258959], [-123.06039759247743, 49.244098222613715], [-123.05988205814806, 49.243849763733735]], ""type"": ""LineString""}";49.243974028787456, -123.06013989925513
300;1952-01-01;Cast Iron;"{""coordinates"": [[-123.08971567274811, 49.21106549432441], [-123.09092656816236, 49.21105865555908]], ""type"": ""LineString""}";49.211062074941744, -123.09032112045523
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.09423227915435, 49.2112299929021], [-123.09425002393954, 49.211175107170696]], ""type"": ""LineString""}";49.2112025500364, -123.09424115154695
300;1961-01-01;Cast Iron;"{""coordinates"": [[-123.09425904209476, 49.21099324208075], [-123.09425965523039, 49.2110052053132]], ""type"": ""LineString""}";49.21099922369697, -123.09425934866256
300;1950-01-01;Cast Iron;"{""coordinates"": [[-123.07768418958152, 49.26245239147977], [-123.07755670957557, 49.26245135272068]], ""type"": ""LineString""}";49.26245187210023, -123.07762044957856
150;;Cast Iron;"{""coordinates"": [[-123.11511081285276, 49.27814466019814], [-123.11516047895276, 49.27811177828964]], ""type"": ""LineString""}";49.27812821924389, -123.11513564590277
900;;<blank>;"{""coordinates"": [[-123.02344937530683, 49.28883346782094], [-123.02348172285573, 49.28684334376361]], ""type"": ""LineString""}";49.28783840579227, -123.02346554908128
150;2004-11-17;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.0547512111379, 49.27743593987377], [-123.05468160250437, 49.27743578393691]], ""type"": ""LineString""}";49.27743586190534, -123.05471640682113
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.02543462988316, 49.286669161767584], [-123.02371334477239, 49.286668772222455]], ""type"": ""LineString""}";49.28666896699502, -123.02457398732778
300;1938-01-01;Cast Iron;"{""coordinates"": [[-123.12249757040205, 49.279665778716925], [-123.12262213896364, 49.27958334067973]], ""type"": ""LineString""}";49.27962455969833, -123.12255985468282
200;1968-01-01;Ductile Iron;"{""coordinates"": [[-123.0265154467824, 49.270357733098315], [-123.02673024991596, 49.27035851116307]], ""type"": ""LineString""}";49.27035812213069, -123.02662284834918
