DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
200;1947-01-01;Cast Iron;"{""coordinates"": [[-123.11591938689656, 49.278884461271076], [-123.11597983517179, 49.278923160855186]], ""type"": ""LineString""}";49.27890381106313, -123.11594961103418
200;1970-01-01;Cast Iron;"{""coordinates"": [[-123.16566741416118, 49.24043162692457], [-123.16563359569153, 49.24044132731452]], ""type"": ""LineString""}";49.240436477119545, -123.16565050492635
100;1900-01-01;Cast Iron;"{""coordinates"": [[-123.12741820839503, 49.277687840740796], [-123.12792950078467, 49.27734689798933]], ""type"": ""LineString""}";49.277517369365064, -123.12767385458986
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.1027768293071, 49.23918581262884], [-123.10277757842859, 49.23916945860868]], ""type"": ""LineString""}";49.23917763561876, -123.10277720386786
300;1931-01-01;Cast Iron;"{""coordinates"": [[-123.1382528022126, 49.26363022245505], [-123.13834071808324, 49.26363208717431]], ""type"": ""LineString""}";49.263631154814675, -123.13829676014792
200;1978-01-01;Ductile Iron;"{""coordinates"": [[-123.02365435134323, 49.28563076884938], [-123.02362827982395, 49.28563052231863]], ""type"": ""LineString""}";49.28563064558401, -123.02364131558359
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.02367549813171, 49.284736590644286], [-123.02364746085848, 49.28473654241433]], ""type"": ""LineString""}";49.284736566529304, -123.0236614794951
200;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.16547922826109, 49.23948175576296], [-123.16546909384252, 49.23947478097218]], ""type"": ""LineString""}";49.23947826836757, -123.1654741610518
300;1952-01-01;Cast Iron;"{""coordinates"": [[-123.09994976055182, 49.210730428223904], [-123.10019735759461, 49.21073276837373]], ""type"": ""LineString""}";49.21073159829882, -123.10007355907322
300;1946-01-01;Cast Iron;"{""coordinates"": [[-123.10230715395855, 49.21101701411334], [-123.10230706591143, 49.21100761411523]], ""type"": ""LineString""}";49.211012314114285, -123.102307109935
300;1946-01-01;Cast Iron;"{""coordinates"": [[-123.10230724425168, 49.21102750253928], [-123.1023071901983, 49.21102126885251]], ""type"": ""LineString""}";49.21102438569589, -123.10230721722499
650;;<blank>;"{""coordinates"": [[-123.12070970734766, 49.23001019389033], [-123.11671657295734, 49.22987272101725], [-123.1163534099329, 49.22985987333555]], ""type"": ""LineString""}";49.229935191522074, -123.11853155312889
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.10977822680896, 49.25391816863723], [-123.10977502476607, 49.253918090722706]], ""type"": ""LineString""}";49.253918129679974, -123.1097766257875
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.10718117633863, 49.25387187998766], [-123.10709161537437, 49.25386962428082]], ""type"": ""LineString""}";49.25387075213424, -123.10713639585651
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.10494410450744, 49.25381476308891], [-123.10492223631275, 49.25379951806]], ""type"": ""LineString""}";49.25380714057445, -123.10493317041009
300;1993-01-01;Ductile Iron;"{""coordinates"": [[-123.11085595780732, 49.28351123369144], [-123.11088373378773, 49.28349313573448]], ""type"": ""LineString""}";49.28350218471296, -123.11086984579752
150;2012-05-17;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.12018161712865, 49.2500486298841], [-123.12016931038832, 49.25003939559123]], ""type"": ""LineString""}";49.25004401273766, -123.12017546375849
150;2006-12-18;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.1183422516887, 49.25000822407174], [-123.11825820926371, 49.250006798929405]], ""type"": ""LineString""}";49.25000751150057, -123.11830023047621
150;1967-01-01;Cast Iron;"{""coordinates"": [[-123.0495622321851, 49.28294441958218], [-123.04953559851457, 49.28294448497372]], ""type"": ""LineString""}";49.282944452277945, -123.04954891534983
200;1968-01-01;Cast Iron;"{""coordinates"": [[-123.06492986292693, 49.25175433830908], [-123.06485238355002, 49.25187581733713]], ""type"": ""LineString""}";49.2518150778231, -123.06489112323848
650;1913-01-01;Steel;"{""coordinates"": [[-123.13839225888557, 49.29341874148474], [-123.13823120446176, 49.29352906200363]], ""type"": ""LineString""}";49.29347390174419, -123.13831173167367
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.06203045560898, 49.23682564082074], [-123.06203165170717, 49.236859318380894]], ""type"": ""LineString""}";49.23684247960082, -123.06203105365807
150;1951-01-01;Cast Iron;"{""coordinates"": [[-123.09531473343048, 49.21113055238965], [-123.09530777928119, 49.21119847254922]], ""type"": ""LineString""}";49.21116451246944, -123.09531125635586
200;2016-08-16;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.1080974400688, 49.23229232249409], [-123.10809699224325, 49.23230112027257]], ""type"": ""LineString""}";49.23229672138333, -123.10809721615601
150;1946-01-01;Cast Iron;"{""coordinates"": [[-123.10830492501053, 49.2313201008121], [-123.10813834678667, 49.23131742335923]], ""type"": ""LineString""}";49.231318762085664, -123.10822163589859
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.07338998409027, 49.24644995157161], [-123.07338007260707, 49.24643727459077]], ""type"": ""LineString""}";49.24644361308119, -123.07338502834867
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.07358839027249, 49.2464517323538], [-123.07357084430392, 49.24645161759534]], ""type"": ""LineString""}";49.246451674974566, -123.07357961728819
300;1991-01-01;Ductile Iron;"{""coordinates"": [[-123.12227368851256, 49.20479764249908], [-123.12227488591154, 49.20479887358741]], ""type"": ""LineString""}";49.20479825804324, -123.12227428721205
300;1951-01-01;Cast Iron;"{""coordinates"": [[-123.12198535191928, 49.20512659959822], [-123.12126859512995, 49.205290762930034]], ""type"": ""LineString""}";49.20520868126412, -123.12162697352461
150;2007-05-30;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.05165225582957, 49.233819452833096], [-123.05163640470468, 49.233820053605896]], ""type"": ""LineString""}";49.23381975321949, -123.05164433026712
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.18966223460599, 49.23231725805071], [-123.18966178502454, 49.23233257771641]], ""type"": ""LineString""}";49.23232491788356, -123.18966200981527
150;1940-01-01;Cast Iron;"{""coordinates"": [[-123.19576389253311, 49.24151430553417], [-123.19666175622147, 49.24152069640235]], ""type"": ""LineString""}";49.24151750096826, -123.19621282437728
150;;Cast Iron;"{""coordinates"": [[-123.03885638543866, 49.26662459075016], [-123.03672154614492, 49.26661801184653]], ""type"": ""LineString""}";49.26662130129834, -123.03778896579178
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.05669566814501, 49.21874299729059], [-123.0567202447086, 49.218739477068326], [-123.05773715071871, 49.2187372281795]], ""type"": ""LineString""}";49.218738421370695, -123.05721628703576
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04706171885863, 49.21742136647265], [-123.0469868570861, 49.217396659938075]], ""type"": ""LineString""}";49.21740901320536, -123.04702428797236
300;;Cast Iron;"{""coordinates"": [[-123.06212736550178, 49.259773612861565], [-123.06212767898005, 49.259607291248756]], ""type"": ""LineString""}";49.25969045205516, -123.06212752224091
200;1962-01-01;Cast Iron;"{""coordinates"": [[-123.05998876209446, 49.26036628603722], [-123.05993859700531, 49.26036586231201]], ""type"": ""LineString""}";49.26036607417461, -123.0599636795499
150;1951-01-01;Cast Iron;"{""coordinates"": [[-123.0501873197416, 49.22472539801716], [-123.05013307022003, 49.224724522047076]], ""type"": ""LineString""}";49.22472496003212, -123.0501601949808
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.06188630317608, 49.220302110396965], [-123.06132258712097, 49.22029702286223]], ""type"": ""LineString""}";49.2202995666296, -123.06160444514852
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.06132258712097, 49.22029702286223], [-123.06121821161405, 49.220290781533954]], ""type"": ""LineString""}";49.220293902198094, -123.06127039936752
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.03104404971157, 49.27903146408412], [-123.03103030086582, 49.2790315577289]], ""type"": ""LineString""}";49.279031510906506, -123.0310371752887
300;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0740368740441, 49.210879620185054], [-123.07403512998035, 49.21090696697634]], ""type"": ""LineString""}";49.2108932935807, -123.07403600201222
100;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.19879159320897, 49.23411315817325], [-123.1984072460945, 49.23400992369367]], ""type"": ""LineString""}";49.23406154093346, -123.19859941965174
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.04693019466211, 49.28294425020476], [-123.04676354398134, 49.28294343624046]], ""type"": ""LineString""}";49.28294384322261, -123.04684686932173
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.03659675693454, 49.24956258861625], [-123.03659608797882, 49.249605639979414]], ""type"": ""LineString""}";49.24958411429783, -123.03659642245668
900;;<blank>;"{""coordinates"": [[-123.02348422712622, 49.267561063068214], [-123.02348577666982, 49.265815616349684], [-123.0235038597674, 49.26299670508709]], ""type"": ""LineString""}";49.2652788732003, -123.02349106442648
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.2030207074239, 49.261040808342145], [-123.20173540329108, 49.26102385489838]], ""type"": ""LineString""}";49.261032331620264, -123.20237805535749
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.05415759054006, 49.23873449585724], [-123.05417034270332, 49.23871263143733]], ""type"": ""LineString""}";49.238723563647284, -123.0541639666217
150;1967-01-01;Cast Iron;"{""coordinates"": [[-123.05417034270332, 49.23871263143733], [-123.05418774530278, 49.23741642656651]], ""type"": ""LineString""}";49.23806452900192, -123.05417904400305
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.05536260043871, 49.23885061096627], [-123.0546246315221, 49.23884647363521]], ""type"": ""LineString""}";49.238848542300744, -123.05499361598041
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.16263293169652, 49.236443172710494], [-123.16262050488321, 49.236423850413345]], ""type"": ""LineString""}";49.23643351156191, -123.16262671828986
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.19109030030518, 49.24053086339874], [-123.1908691128346, 49.24053032952545]], ""type"": ""LineString""}";49.240530596462094, -123.19097970656989
150;;Cast Iron;"{""coordinates"": [[-123.20068762311014, 49.26417270899247], [-123.19975701990195, 49.26415943457518]], ""type"": ""LineString""}";49.264166071783826, -123.20022232150605
200;1959-01-01;Cast Iron;"{""coordinates"": [[-123.20563760109358, 49.27352901999628], [-123.20563916348969, 49.27345841391623]], ""type"": ""LineString""}";49.27349371695625, -123.20563838229165
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.1883937254575, 49.23184912448637], [-123.18839367969235, 49.23186237457971]], ""type"": ""LineString""}";49.23185574953304, -123.18839370257493
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.19099039259085, 49.25110644310006], [-123.19097390330539, 49.25110647035778]], ""type"": ""LineString""}";49.25110645672892, -123.19098214794812
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.19077729680009, 49.25107846020181], [-123.19078244482915, 49.25098804063707]], ""type"": ""LineString""}";49.25103325041944, -123.19077987081462
200;1951-01-01;Cast Iron;"{""coordinates"": [[-123.0411031328229, 49.2232033364322], [-123.04108665273613, 49.22320334229501]], ""type"": ""LineString""}";49.22320333936361, -123.04109489277953
150;;Asbestos Cement;"{""coordinates"": [[-123.19394397514459, 49.22764659938032], [-123.19418250923992, 49.227181593071926]], ""type"": ""LineString""}";49.22741409622613, -123.19406324219226
200;1960-01-01;Cast Iron;"{""coordinates"": [[-123.03441568775332, 49.24406001304385], [-123.03443353569044, 49.244041297637764]], ""type"": ""LineString""}";49.24405065534081, -123.03442461172187
300;1959-01-01;Cast Iron;"{""coordinates"": [[-123.03102866259081, 49.280584134981325], [-123.03102754325657, 49.280334069346594]], ""type"": ""LineString""}";49.28045910216396, -123.0310281029237
100;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.20668594666667, 49.23615211132907], [-123.20667180114313, 49.23614309640482]], ""type"": ""LineString""}";49.23614760386694, -123.20667887390492
200;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.20428888230009, 49.23658584454916], [-123.20422563447036, 49.236572013733266]], ""type"": ""LineString""}";49.23657892914122, -123.20425725838524
200;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.20219455022725, 49.23605835034366], [-123.20203341659726, 49.23601486134406]], ""type"": ""LineString""}";49.23603660584386, -123.20211398341226
150;1982-01-01;Ductile Iron;"{""coordinates"": [[-123.20441084924421, 49.2362151142626], [-123.20443849165557, 49.2362226213621]], ""type"": ""LineString""}";49.236218867812354, -123.2044246704499
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.05634497175986, 49.215912598155526], [-123.05633056163214, 49.216547833760586]], ""type"": ""LineString""}";49.216230215958056, -123.05633776669602
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.05632973799419, 49.21658431001441], [-123.05675856696455, 49.21708086430212]], ""type"": ""LineString""}";49.21683258715826, -123.05654415247938
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.05677047335412, 49.21709372169749], [-123.05622329550111, 49.21785961328917]], ""type"": ""LineString""}";49.21747666749333, -123.05649688442762
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0505123705466, 49.24751729685329], [-123.05055440382216, 49.24750594447881]], ""type"": ""LineString""}";49.247511620666046, -123.05053338718437
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.05047897089521, 49.24750642722385], [-123.0505123705466, 49.24751729685329]], ""type"": ""LineString""}";49.247511862038564, -123.0504956707209
300;1965-01-01;Cast Iron;"{""coordinates"": [[-123.04228542907767, 49.20808891575717], [-123.04228610134678, 49.20807227422276]], ""type"": ""LineString""}";49.208080594989966, -123.04228576521221
150;1926-01-01;Cast Iron;"{""coordinates"": [[-123.16632858230642, 49.263971204260535], [-123.16631927659617, 49.263971046747386]], ""type"": ""LineString""}";49.26397112550396, -123.1663239294513
200;1938-01-01;Cast Iron;"{""coordinates"": [[-123.04228660665326, 49.207988644816794], [-123.04228465202812, 49.207966589078495]], ""type"": ""LineString""}";49.207977616947645, -123.04228562934068
300;1965-01-01;Cast Iron;"{""coordinates"": [[-123.04226681757909, 49.207998528889455], [-123.04221670717092, 49.20799989650892]], ""type"": ""LineString""}";49.207999212699185, -123.042241762375
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.05479227221362, 49.27825003835558], [-123.05470840506241, 49.27824989819024]], ""type"": ""LineString""}";49.2782499682729, -123.05475033863802
25;1965-01-01;Copper;"{""coordinates"": [[-123.05449331507377, 49.27918082112184], [-123.0544921925717, 49.279397425579944]], ""type"": ""LineString""}";49.27928912335089, -123.05449275382273
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05983125747521, 49.26587864743645], [-123.05977216611561, 49.26587821027019]], ""type"": ""LineString""}";49.26587842885332, -123.05980171179542
300;1982-01-01;Ductile Iron;"{""coordinates"": [[-123.19982923537155, 49.23546625150022], [-123.19978742602537, 49.23545400031316]], ""type"": ""LineString""}";49.23546012590669, -123.19980833069846
450;1963-01-01;Cast Iron;"{""coordinates"": [[-123.20915761004231, 49.25833067553964], [-123.20915758723562, 49.25832527844848]], ""type"": ""LineString""}";49.25832797699406, -123.20915759863897
200;1969-01-01;Cast Iron;"{""coordinates"": [[-123.20015568544233, 49.2285733283516], [-123.20005057350787, 49.22852943362158], [-123.20000462447294, 49.22851098293581], [-123.19995799127373, 49.22849316308463], [-123.19991094896783, 49.22847606354394], [-123.19986322213227, 49.22845950488434], [-123.19981508654999, 49.228443756486044], [-123.19976640378329, 49.228428548729916], [-123.1997171749188, 49.22841415147137], [-123.199667536541, 49.22840037557306], [-123.19961748872086, 49.22838723902485], [-123.19956703214514, 49.228374912735106], [-123.19951616608725, 49.228363216799224], [-123.19946489090765, 49.22835224116873], [-123.19941319286959, 49.22834198586674], [-123.19936137413555, 49.228332450371255], [-123.19930914663554, 49.228323725131816], [-123.19925664699113, 49.22831563000684], [-123.19920387556212, 49.228308254948026], [-123.19915097005523, 49.22830168967027], [-123.19909779275912, 49.22829584445808], [-123.19876398921849, 49.228280677573174], [-123.19853459822092, 49.22827927298737]], ""type"": ""LineString""}";49.228365416938026, -123.19935673611106
200;1970-01-01;Ductile Iron;"{""coordinates"": [[-123.0503815751841, 49.20596334573731], [-123.05040790458155, 49.205961256336835]], ""type"": ""LineString""}";49.205962301037076, -123.05039473988282
150;1967-01-01;Cast Iron;"{""coordinates"": [[-123.05437606282916, 49.23740931279465], [-123.05420161106231, 49.2374082343886]], ""type"": ""LineString""}";49.237408773591625, -123.05428883694574
150;1953-01-01;Cast Iron;"{""coordinates"": [[-123.05494270439252, 49.2567050278636], [-123.05494293053674, 49.25658685761384]], ""type"": ""LineString""}";49.25664594273872, -123.05494281746462
100;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.20225306713373, 49.235590044867216], [-123.20223491257998, 49.235584679496576], [-123.2022168935617, 49.23557886412304], [-123.20219928554872, 49.23557277816963], [-123.20218195080648, 49.23556633192507], [-123.20216475233494, 49.23555961558175], [-123.20214796450215, 49.235552538707054], [-123.20213158727161, 49.235545092306005], [-123.20211534634909, 49.235537384801724], [-123.20209965380023, 49.23552940647814], [-123.20208423452338, 49.235521067864155], [-123.20206922625296, 49.235512458671494], [-123.20205449162172, 49.235503579140605], [-123.20204030499748, 49.23549433883915], [-123.20202652974669, 49.23548491791144], [-123.20201302813513, 49.235475226645875], [-123.20200007489734, 49.235465264562194], [-123.2019875330328, 49.23545512185262], [-123.20197553954183, 49.235444708325254], [-123.20196395705709, 49.2354340242204], [-123.20196232646161, 49.23540470253656], [-123.20196261863913, 49.23537528753853], [-123.20196497168652, 49.23534595888997], [-123.20196911086657, 49.235316717071086], [-123.20197517390959, 49.23528765179347], [-123.20198329817896, 49.235258762816585], [-123.20199320893795, 49.23523005062044], [-123.20200490728402, 49.23520178506033], [-123.2020186672136, 49.23517378575144], [-123.2020340773581, 49.23514623331759], [-123.20205141244773, 49.23511912727763], [-123.20207052174388, 49.23509255784692], [-123.20209129535144, 49.23506652521682], [-123.20211371989886, 49.23504111936245], [-123.20213793275043, 49.23501634004244], [-123.20216365953964, 49.234992277688434], [-123.20219103799838, 49.23496902201087], [-123.2022197933941, 49.234946573489566], [-123.20225020009052, 49.23492484169053], [-123.20228184709168, 49.234904097189876]], ""type"": ""LineString""}";49.23527010751325, -123.20208241890163
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.05469063614073, 49.27744902956561], [-123.05469386516594, 49.27745977728047]], ""type"": ""LineString""}";49.27745440342303, -123.05469225065335
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.19828544136998, 49.228483434724254], [-123.19828599671862, 49.22845060104807]], ""type"": ""LineString""}";49.22846701788616, -123.19828571904428
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.19828805251713, 49.22827788839815], [-123.19828854126644, 49.228228413591275]], ""type"": ""LineString""}";49.22825315099472, -123.19828829689177
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.19722246770932, 49.22765095237593], [-123.19722360307156, 49.22759113190666]], ""type"": ""LineString""}";49.227621042141294, -123.19722303539044
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.05459030605296, 49.23972366092036], [-123.05447449406368, 49.239722995968386]], ""type"": ""LineString""}";49.23972332844437, -123.05453240005832
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.07411255759465, 49.23611782778358], [-123.07409425517726, 49.236729966106125]], ""type"": ""LineString""}";49.236423896944856, -123.07410340638594
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.07409425517726, 49.236729966106125], [-123.07409333775048, 49.23676868223695]], ""type"": ""LineString""}";49.23674932417154, -123.07409379646388
200;1930-01-01;Cast Iron;"{""coordinates"": [[-123.0669327336125, 49.20746749918597], [-123.06622206433767, 49.207273196709195]], ""type"": ""LineString""}";49.20737034794758, -123.06657739897508
900;;Concrete;"{""coordinates"": [[-123.02365020397865, 49.28279561755119], [-123.02364914245395, 49.282904819177205]], ""type"": ""LineString""}";49.282850218364196, -123.0236496732163
450;1970-01-01;Steel;"{""coordinates"": [[-123.07159819020487, 49.22772286528515], [-123.0715981785068, 49.2277147695576]], ""type"": ""LineString""}";49.227718817421376, -123.07159818435584
200;1965-01-01;Cast Iron;"{""coordinates"": [[-123.04942929551028, 49.274935815722785], [-123.04924878750158, 49.27493598275175]], ""type"": ""LineString""}";49.27493589923726, -123.04933904150593
150;1948-01-01;Cast Iron;"{""coordinates"": [[-123.04666113260755, 49.27658788904152], [-123.0462991830138, 49.276587827748465]], ""type"": ""LineString""}";49.276587858395, -123.04648015781068
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.04656856377379, 49.27743270901306], [-123.04429129281054, 49.27742882791347]], ""type"": ""LineString""}";49.27743076846326, -123.04542992829217
50;1991-01-01;Copper;"{""coordinates"": [[-123.20731065428042, 49.27010646027882], [-123.20730942852609, 49.27014199352668]], ""type"": ""LineString""}";49.27012422690275, -123.20731004140326
150;;Cast Iron;"{""coordinates"": [[-123.07089847740778, 49.266865168734654], [-123.07169603084152, 49.26687247543159]], ""type"": ""LineString""}";49.266868822083126, -123.07129725412466
150;;Cast Iron;"{""coordinates"": [[-123.07178260139732, 49.26687332120082], [-123.07221906889639, 49.266877276958674]], ""type"": ""LineString""}";49.26687529907974, -123.07200083514684
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.06995181734091, 49.22853122556099], [-123.06992228659672, 49.2285307037238]], ""type"": ""LineString""}";49.22853096464239, -123.06993705196882
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.05164667907394, 49.233951406659834], [-123.05167896210015, 49.235731417123425]], ""type"": ""LineString""}";49.23484141189163, -123.05166282058704
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.19084251814624, 49.262678707151835], [-123.19083490502572, 49.26266477714714]], ""type"": ""LineString""}";49.262671742149486, -123.19083871158597
200;1978-01-01;Ductile Iron;"{""coordinates"": [[-123.05473573068758, 49.24879259662143], [-123.05477350462169, 49.24878133468462]], ""type"": ""LineString""}";49.248786965653025, -123.05475461765464
200;1967-01-01;Cast Iron;"{""coordinates"": [[-123.05442725905048, 49.24879508111415], [-123.05441035833441, 49.248795179027134]], ""type"": ""LineString""}";49.24879513007065, -123.05441880869246
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.0548359155349, 49.27743605262504], [-123.05481900493596, 49.27743606064901]], ""type"": ""LineString""}";49.27743605663703, -123.05482746023543
100;;Asbestos Cement;"{""coordinates"": [[-123.19650231814929, 49.22754000864158], [-123.19647963727017, 49.22753527972872]], ""type"": ""LineString""}";49.22753764418515, -123.19649097770973
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.15738679564332, 49.2420599918675], [-123.15738674275885, 49.24204335074109]], ""type"": ""LineString""}";49.242051671304296, -123.15738676920108
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.06193166363032, 49.269663016836425], [-123.06193230984687, 49.26963018402821]], ""type"": ""LineString""}";49.26964660043232, -123.0619319867386
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.06193230984687, 49.26963018402821], [-123.0619294744974, 49.269517475752785]], ""type"": ""LineString""}";49.2695738298905, -123.06193089217214
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.06192932264454, 49.26949499684125], [-123.06193029966963, 49.269451900336904]], ""type"": ""LineString""}";49.26947344858909, -123.0619298111571
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.06193029966963, 49.269451900336904], [-123.06193132380754, 49.269402516165364]], ""type"": ""LineString""}";49.26942720825113, -123.06193081173859
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.06376206280142, 49.274897429272905], [-123.06376438202335, 49.27477689248791]], ""type"": ""LineString""}";49.27483716088041, -123.06376322241238
200;1928-01-01;Cast Iron;"{""coordinates"": [[-123.19096529920017, 49.25904975345724], [-123.19093734226766, 49.25982206607654]], ""type"": ""LineString""}";49.25943590976689, -123.19095132073392
150;;Steel;"{""coordinates"": [[-123.06117390410232, 49.286597569738944], [-123.06126518756044, 49.28657881142767]], ""type"": ""LineString""}";49.2865881905833, -123.06121954583138
300;1954-01-01;Cast Iron;"{""coordinates"": [[-123.02371790263129, 49.26015866454445], [-123.02371457933297, 49.26059448309667]], ""type"": ""LineString""}";49.26037657382055, -123.02371624098214
300;1960-01-01;Cast Iron;"{""coordinates"": [[-123.02998974028363, 49.2401057709219], [-123.02995828548548, 49.240137478311055]], ""type"": ""LineString""}";49.24012162461647, -123.02997401288454
200;1968-01-01;Cast Iron;"{""coordinates"": [[-123.03246366199132, 49.23852298308885], [-123.0324508962807, 49.23851775144388]], ""type"": ""LineString""}";49.23852036726637, -123.032457279136
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.14673147961182, 49.2419228065731], [-123.14669024821218, 49.241922184290736]], ""type"": ""LineString""}";49.24192249543192, -123.146710863912
300;1967-01-01;Cast Iron;"{""coordinates"": [[-123.1456982901946, 49.24191175474762], [-123.14564814183491, 49.24191091845761]], ""type"": ""LineString""}";49.24191133660261, -123.14567321601477
300;1967-01-01;Cast Iron;"{""coordinates"": [[-123.14564814183491, 49.24191091845761], [-123.14546264903512, 49.24190821971537]], ""type"": ""LineString""}";49.24190956908649, -123.14555539543504
200;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.19849896174267, 49.23341967718772], [-123.19848578084587, 49.2333868671406]], ""type"": ""LineString""}";49.23340327216416, -123.19849237129425
200;1966-01-01;Asbestos Cement;"{""coordinates"": [[-123.19848578084587, 49.2333868671406], [-123.19831731676206, 49.23333813230622]], ""type"": ""LineString""}";49.23336249972342, -123.19840154880396
300;1967-01-01;Cast Iron;"{""coordinates"": [[-123.19088206278668, 49.23481824241036], [-123.19087862864855, 49.234818248084665]], ""type"": ""LineString""}";49.23481824524751, -123.19088034571762
300;1967-01-01;Cast Iron;"{""coordinates"": [[-123.18958596044838, 49.23481226301253], [-123.18840665360473, 49.2348115477653]], ""type"": ""LineString""}";49.23481190538891, -123.18899630702657
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.07364791954187, 49.26869856832466], [-123.07368984557668, 49.26869899135315]], ""type"": ""LineString""}";49.2686987798389, -123.07366888255928
200;;Cast Iron;"{""coordinates"": [[-123.02722878269388, 49.281052491260645], [-123.02662940210766, 49.28105229812362]], ""type"": ""LineString""}";49.28105239469213, -123.02692909240075
200;1967-01-01;Cast Iron;"{""coordinates"": [[-123.06388196643503, 49.2687406310859], [-123.06389321302264, 49.26861469211501]], ""type"": ""LineString""}";49.26867766160045, -123.06388758972884
300;1904-01-01;Cast Iron;"{""coordinates"": [[-123.13730851089373, 49.26361258450687], [-123.13645879467195, 49.26359909091083]], ""type"": ""LineString""}";49.26360583770885, -123.13688365278284
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.1908657634706, 49.26175663241353], [-123.19086511789833, 49.26176742773669]], ""type"": ""LineString""}";49.26176203007511, -123.19086544068446
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.19086511789833, 49.26176742773669], [-123.19083921615702, 49.262538837049824]], ""type"": ""LineString""}";49.26215313239326, -123.19085216702769
100;;Cast Iron;"{""coordinates"": [[-123.12887306625043, 49.27671749974785], [-123.12933199897986, 49.276413237514625]], ""type"": ""LineString""}";49.27656536863124, -123.12910253261516
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.05474815657438, 49.264688368083995], [-123.05474813806391, 49.26467163701586]], ""type"": ""LineString""}";49.26468000254992, -123.05474814731915
200;1928-01-01;Cast Iron;"{""coordinates"": [[-123.04907858864891, 49.29212831346257], [-123.04855071197458, 49.29207340511701], [-123.04773395056047, 49.291918219072585], [-123.04697452785052, 49.2917626441513]], ""type"": ""LineString""}";49.291965540646444, -123.04802343867942
